"Date","Price","Open","High","Low","Change %"
"Aug 02","1.0183","1.0233","1.0395","1.0077","-0.45%"
"Jul 02","1.0229","1.0085","1.0296","0.9790","1.42%"
"Jun 02","1.0086","1.0718","1.0757","1.0004","-5.81%"
"May 02","1.0708","1.1104","1.1127","1.0615","-3.60%"
"Apr 02","1.1108","1.1469","1.1476","1.1045","-3.16%"
"Mar 02","1.1471","1.1502","1.1588","1.1266","-0.33%"
"Feb 02","1.1509","1.1641","1.1682","1.1355","-1.18%"
"Jan 02","1.1646","1.1241","1.1671","1.1020","3.75%"
"Dec 01","1.1225","1.1159","1.1441","1.1006","0.63%"
"Nov 01","1.1155","1.1100","1.1450","1.0959","0.38%"
"Oct 01","1.1113","1.0977","1.1277","1.0810","1.31%"
"Sep 01","1.0969","1.0984","1.1336","1.0704","0.08%"
"Aug 01","1.0960","1.1410","1.1446","1.0813","-3.96%"
"Jul 01","1.1412","1.1752","1.1979","1.1325","-2.99%"
"Jun 01","1.1764","1.1834","1.1889","1.1525","-0.48%"
"May 01","1.1821","1.1246","1.1852","1.1096","5.00%"
"Apr 01","1.1258","1.1434","1.1499","1.0996","-1.18%"
"Mar 01","1.1393","1.0823","1.1429","1.0655","5.20%"
"Feb 01","1.0830","1.0669","1.1094","1.0582","1.43%"
"Jan 01","1.0677","1.0608","1.0976","1.0419","0.62%"
"Dec 00","1.0611","1.1456","1.1494","1.0604","-7.44%"
"Nov 00","1.1464","1.1777","1.1945","1.1366","-2.67%"
"Oct 00","1.1778","1.1307","1.2155","1.1278","4.11%"
"Sep 00","1.1313","1.1250","1.1852","1.1056","0.52%"
"Aug 00","1.1254","1.0784","1.1315","1.0761","4.24%"
"Jul 00","1.0796","1.0501","1.0882","1.0414","2.84%"
"Jun 00","1.0498","1.0669","1.0775","1.0304","-1.54%"
"May 00","1.0662","1.0961","1.1308","1.0621","-2.71%"
"Apr 00","1.0959","1.0455","1.1075","1.0251","4.78%"
"Mar 00","1.0459","1.0366","1.0551","1.0206","0.89%"
"Feb 00","1.0367","1.0304","1.0640","0.9907","0.52%"
"Jan 00","1.0313","0.9940","1.0339","0.9598","3.90%"
"Dec 99","0.9926","0.9905","1.0010","0.9618","0.16%"
